text,label
All submissions comply with regulatory requirements,regulatory
Regulatory compliance requires annual audit in accordance with standards,regulatory
The defendant breached the agreement terms pursuant to regulations,contract_dispute
Intellectual property rights protected by copyright pursuant to regulations,ip_claim
Regulatory compliance requires annual audit in accordance with standards,regulatory
Plaintiff alleges breach of fiduciary duty in accordance with standards,contract_dispute
The compliance department reviewed all filings as per law,regulatory
Trademark registration opposed by competitor in accordance with standards,ip_claim
The parties agree to resolve disputes through arbitration in accordance with standards,contract_dispute
The company filed for trademark protection in accordance with standards,ip_claim
The parties agree to resolve disputes through arbitration pursuant to regulations,contract_dispute
Compliance with SEC regulations requires disclosures in accordance with standards,regulatory
Regulatory compliance requires annual audit in accordance with standards,regulatory
All submissions comply with regulatory requirements in accordance with standards,regulatory
Parties failed to reach settlement in mediation,contract_dispute
The compliance department reviewed all filings,regulatory
Compliance with SEC regulations requires disclosures in accordance with standards,regulatory
Plaintiff alleges breach of fiduciary duty as per law,contract_dispute
Trademark registration opposed by competitor,ip_claim
The company filed for trademark protection as per law,ip_claim
All submissions comply with regulatory requirements pursuant to regulations,regulatory
Parties failed to reach settlement in mediation as per law,contract_dispute
Plaintiff alleges breach of fiduciary duty as per law,contract_dispute
Trademark registration opposed by competitor in accordance with standards,ip_claim
The company filed for trademark protection pursuant to regulations,ip_claim
Trademark registration opposed by competitor in accordance with standards,ip_claim
Trademark registration opposed by competitor as per law,ip_claim
Patent infringement case filed in district court,ip_claim
The company filed for trademark protection in accordance with standards,ip_claim
Contract terminated due to breach of terms pursuant to regulations,contract_dispute
Contract terminated due to breach of terms,contract_dispute
The parties agree to resolve disputes through arbitration,contract_dispute
The compliance department reviewed all filings,regulatory
The parties agree to resolve disputes through arbitration in accordance with standards,contract_dispute
Plaintiff alleges breach of fiduciary duty in accordance with standards,contract_dispute
Regulatory compliance requires annual audit pursuant to regulations,regulatory
Parties failed to reach settlement in mediation pursuant to regulations,contract_dispute
Parties failed to reach settlement in mediation,contract_dispute
Trademark registration opposed by competitor,ip_claim
Regulatory filings must be submitted by December 31 in accordance with standards,regulatory
Patent application claims priority from previous filings in accordance with standards,ip_claim
The compliance department reviewed all filings pursuant to regulations,regulatory
Intellectual property rights protected by copyright pursuant to regulations,ip_claim
Parties failed to reach settlement in mediation,contract_dispute
Regulatory compliance requires annual audit,regulatory
Contract terminated due to breach of terms pursuant to regulations,contract_dispute
Regulatory compliance requires annual audit,regulatory
Compliance with SEC regulations requires disclosures as per law,regulatory
Parties failed to reach settlement in mediation pursuant to regulations,contract_dispute
Regulatory filings must be submitted by December 31 in accordance with standards,regulatory
Plaintiff alleges breach of fiduciary duty as per law,contract_dispute
The defendant breached the agreement terms pursuant to regulations,contract_dispute
The compliance department reviewed all filings in accordance with standards,regulatory
Parties failed to reach settlement in mediation pursuant to regulations,contract_dispute
Patent infringement case filed in district court as per law,ip_claim
The company filed for trademark protection as per law,ip_claim
The defendant breached the agreement terms as per law,contract_dispute
Intellectual property rights protected by copyright in accordance with standards,ip_claim
Patent infringement case filed in district court,ip_claim
Regulatory filings must be submitted by December 31,regulatory
Parties failed to reach settlement in mediation as per law,contract_dispute
Plaintiff alleges breach of fiduciary duty,contract_dispute
Parties failed to reach settlement in mediation pursuant to regulations,contract_dispute
Intellectual property rights protected by copyright,ip_claim
The company filed for trademark protection,ip_claim
Compliance with SEC regulations requires disclosures in accordance with standards,regulatory
Regulatory compliance requires annual audit as per law,regulatory
Plaintiff alleges breach of fiduciary duty,contract_dispute
Patent application claims priority from previous filings as per law,ip_claim
Trademark registration opposed by competitor pursuant to regulations,ip_claim
The defendant breached the agreement terms,contract_dispute
Parties failed to reach settlement in mediation,contract_dispute
Trademark registration opposed by competitor in accordance with standards,ip_claim
The company filed for trademark protection in accordance with standards,ip_claim
The parties agree to resolve disputes through arbitration pursuant to regulations,contract_dispute
Trademark registration opposed by competitor,ip_claim
Patent infringement case filed in district court pursuant to regulations,ip_claim
Regulatory compliance requires annual audit,regulatory
The compliance department reviewed all filings in accordance with standards,regulatory
Intellectual property rights protected by copyright pursuant to regulations,ip_claim
The parties agree to resolve disputes through arbitration in accordance with standards,contract_dispute
The compliance department reviewed all filings pursuant to regulations,regulatory
All submissions comply with regulatory requirements pursuant to regulations,regulatory
Intellectual property rights protected by copyright pursuant to regulations,ip_claim
All submissions comply with regulatory requirements in accordance with standards,regulatory
All submissions comply with regulatory requirements,regulatory
Contract terminated due to breach of terms in accordance with standards,contract_dispute
Parties failed to reach settlement in mediation in accordance with standards,contract_dispute
The parties agree to resolve disputes through arbitration as per law,contract_dispute
Compliance with SEC regulations requires disclosures pursuant to regulations,regulatory
All submissions comply with regulatory requirements in accordance with standards,regulatory
Patent application claims priority from previous filings in accordance with standards,ip_claim
Contract terminated due to breach of terms,contract_dispute
Patent infringement case filed in district court,ip_claim
Parties failed to reach settlement in mediation pursuant to regulations,contract_dispute
The parties agree to resolve disputes through arbitration pursuant to regulations,contract_dispute
Regulatory compliance requires annual audit in accordance with standards,regulatory
Patent application claims priority from previous filings in accordance with standards,ip_claim
Regulatory filings must be submitted by December 31 in accordance with standards,regulatory
Patent infringement case filed in district court as per law,ip_claim
Regulatory filings must be submitted by December 31 pursuant to regulations,regulatory
The defendant breached the agreement terms as per law,contract_dispute
Trademark registration opposed by competitor as per law,ip_claim
Intellectual property rights protected by copyright in accordance with standards,ip_claim
The parties agree to resolve disputes through arbitration in accordance with standards,contract_dispute
Plaintiff alleges breach of fiduciary duty,contract_dispute
The company filed for trademark protection in accordance with standards,ip_claim
Regulatory compliance requires annual audit,regulatory
Plaintiff alleges breach of fiduciary duty pursuant to regulations,contract_dispute
The compliance department reviewed all filings pursuant to regulations,regulatory
Intellectual property rights protected by copyright pursuant to regulations,ip_claim
The company filed for trademark protection as per law,ip_claim
Plaintiff alleges breach of fiduciary duty pursuant to regulations,contract_dispute
The defendant breached the agreement terms in accordance with standards,contract_dispute
Parties failed to reach settlement in mediation in accordance with standards,contract_dispute
Regulatory filings must be submitted by December 31 in accordance with standards,regulatory
Plaintiff alleges breach of fiduciary duty in accordance with standards,contract_dispute
The company filed for trademark protection as per law,ip_claim
Parties failed to reach settlement in mediation in accordance with standards,contract_dispute
The defendant breached the agreement terms in accordance with standards,contract_dispute
The parties agree to resolve disputes through arbitration as per law,contract_dispute
Parties failed to reach settlement in mediation in accordance with standards,contract_dispute
Plaintiff alleges breach of fiduciary duty pursuant to regulations,contract_dispute
The defendant breached the agreement terms in accordance with standards,contract_dispute
Regulatory filings must be submitted by December 31 in accordance with standards,regulatory
Compliance with SEC regulations requires disclosures,regulatory
Trademark registration opposed by competitor pursuant to regulations,ip_claim
Trademark registration opposed by competitor in accordance with standards,ip_claim
Compliance with SEC regulations requires disclosures pursuant to regulations,regulatory
Compliance with SEC regulations requires disclosures as per law,regulatory
Patent application claims priority from previous filings in accordance with standards,ip_claim
The parties agree to resolve disputes through arbitration pursuant to regulations,contract_dispute
The company filed for trademark protection as per law,ip_claim
Compliance with SEC regulations requires disclosures pursuant to regulations,regulatory
Patent application claims priority from previous filings in accordance with standards,ip_claim
Plaintiff alleges breach of fiduciary duty as per law,contract_dispute
Regulatory filings must be submitted by December 31 in accordance with standards,regulatory
Plaintiff alleges breach of fiduciary duty,contract_dispute
Patent infringement case filed in district court pursuant to regulations,ip_claim
All submissions comply with regulatory requirements as per law,regulatory
Intellectual property rights protected by copyright,ip_claim
The company filed for trademark protection as per law,ip_claim
Trademark registration opposed by competitor as per law,ip_claim
Plaintiff alleges breach of fiduciary duty as per law,contract_dispute
Intellectual property rights protected by copyright in accordance with standards,ip_claim
The parties agree to resolve disputes through arbitration in accordance with standards,contract_dispute
Plaintiff alleges breach of fiduciary duty in accordance with standards,contract_dispute
Plaintiff alleges breach of fiduciary duty as per law,contract_dispute
Plaintiff alleges breach of fiduciary duty as per law,contract_dispute
Regulatory compliance requires annual audit pursuant to regulations,regulatory
Contract terminated due to breach of terms in accordance with standards,contract_dispute
Intellectual property rights protected by copyright,ip_claim
Regulatory compliance requires annual audit in accordance with standards,regulatory
Trademark registration opposed by competitor,ip_claim
The company filed for trademark protection as per law,ip_claim
Regulatory filings must be submitted by December 31 in accordance with standards,regulatory
The parties agree to resolve disputes through arbitration as per law,contract_dispute
Patent application claims priority from previous filings pursuant to regulations,ip_claim
Patent application claims priority from previous filings in accordance with standards,ip_claim
The defendant breached the agreement terms,contract_dispute
The defendant breached the agreement terms as per law,contract_dispute
Parties failed to reach settlement in mediation in accordance with standards,contract_dispute
Intellectual property rights protected by copyright,ip_claim
Patent application claims priority from previous filings,ip_claim
Patent infringement case filed in district court,ip_claim
Regulatory filings must be submitted by December 31 as per law,regulatory
Patent infringement case filed in district court,ip_claim
Trademark registration opposed by competitor in accordance with standards,ip_claim
Plaintiff alleges breach of fiduciary duty,contract_dispute
The company filed for trademark protection pursuant to regulations,ip_claim
Trademark registration opposed by competitor as per law,ip_claim
Plaintiff alleges breach of fiduciary duty as per law,contract_dispute
Compliance with SEC regulations requires disclosures as per law,regulatory
Compliance with SEC regulations requires disclosures in accordance with standards,regulatory
The defendant breached the agreement terms,contract_dispute
Compliance with SEC regulations requires disclosures,regulatory
All submissions comply with regulatory requirements in accordance with standards,regulatory
Intellectual property rights protected by copyright in accordance with standards,ip_claim
The parties agree to resolve disputes through arbitration,contract_dispute
Regulatory compliance requires annual audit,regulatory
Regulatory filings must be submitted by December 31,regulatory
Intellectual property rights protected by copyright in accordance with standards,ip_claim
The defendant breached the agreement terms in accordance with standards,contract_dispute
Compliance with SEC regulations requires disclosures,regulatory
Compliance with SEC regulations requires disclosures pursuant to regulations,regulatory
Regulatory filings must be submitted by December 31 as per law,regulatory
Contract terminated due to breach of terms as per law,contract_dispute
Trademark registration opposed by competitor pursuant to regulations,ip_claim
Plaintiff alleges breach of fiduciary duty as per law,contract_dispute
Contract terminated due to breach of terms,contract_dispute
The compliance department reviewed all filings in accordance with standards,regulatory
The defendant breached the agreement terms,contract_dispute
Plaintiff alleges breach of fiduciary duty as per law,contract_dispute
The parties agree to resolve disputes through arbitration in accordance with standards,contract_dispute
Regulatory filings must be submitted by December 31 pursuant to regulations,regulatory
Patent application claims priority from previous filings pursuant to regulations,ip_claim
The compliance department reviewed all filings in accordance with standards,regulatory
The defendant breached the agreement terms pursuant to regulations,contract_dispute
Parties failed to reach settlement in mediation,contract_dispute
Patent application claims priority from previous filings,ip_claim
